Injection Site,GU_d_i,GU_d_c,GU_s_i,GU_s_c,PTLp_d_i,PTLp_d_c,PTLp_s_i,PTLp_s_c,AUDd_d_i,AUDd_d_c,AUDd_s_i,AUDd_s_c,AUDp_d_i,AUDp_d_c,AUDp_s_i,AUDp_s_c,AUDv_d_i,AUDv_d_c,AUDv_s_i,AUDv_s_c,AUDpo_d_i,AUDpo_d_c,AUDPo_d_i,AUDPo_d_c,AUDPo_s_i,AUDPo_s_c,VISpl_d_i,VISpl_d_c,VISpl_s_i,VISpl_s_c,VISl_d_i,VISl_d_c,VISl_s_i,VISl_s_c,VISpm_d_i,VISpm_d_c,VISpm_s_i,VISpm_s_c,VISal_d_i,VISal_d_c,VISal_s_i,VISal_s_c,VISp_d_i,VISp_d_c,VISp_s_i,VISp_s_c,VISam_d_i,VISam_d_c,VISam_s_i,VISam_s_c,ECT_d_i,ECT_d_c,ECT_s_i,ECT_s_c,PERI_d_i,PERI_d_c,PERI_s_i,PERI_s_c,VISC_d_i,VISC_d_c,VISC_s_i,VISC_s_c,TEa_d_i,TEa_d_c,TEa_s_i,TEa_s_c,SSp_tr_d_i,SSp_tr_d_c,SSp_tr_s_i,SSp_tr_s_c,SSp_bfd_d_i,SSp_bfd_d_c,SSp_bfd_s_i,SSp_bfd_s_c,SSp_n_d_i,SSp_n_d_c,SSp_n_s_i,SSp_n_s_c,SSp_m_d_i,SSp_m_d_c,SSp_m_s_i,SSp_m_s_c,SSp_ul_d_i,SSp_ul_d_c,SSp_ul_s_i,SSp_ul_s_c,SSp_ll_d_i,SSp_ll_d_c,SSp_ll_s_i,SSp_ll_s_c,SSp-un_d_i,SSp-un_d_c,SSp-un_s_i,SSp-un_s_c,SSs_d_i,SSs_d_c,SSs_s_i,SSs_s_c,SSp_d_i,SSp_d_c,SSp_s_i,SSp_s_c,RSPv_d_i,RSPv_d_c,RSPv_s_i,RSPv_s_c,RSPd_d_i,RSPd_d_c,RSPd_s_i,RSPd_s_c,RSPagl_d_i,RSPagl_d_c,RSPagl_s_i,RSPagl_s_c,MOs_d_i,MOs_d_c,MOs_s_i,MOs_s_c,MOp_d_i,MOp_d_c,MOp_s_i,MOp_s_c,AIp_d_i,AIp_d_c,AIp_s_i,AIp_s_c,AIv_d_i,AIv_d_c,AIv_s_i,AIv_s_c,AId_d_i,AId_d_c,AId_s_i,AId_s_c,ORBm_d_i,ORBm_d_c,ORBm_s_i,ORBm_s_c,ORBvl_d_i,ORBvl_d_c,ORBvl_s_i,ORBvl_s_c,ORBl_d_i,ORBl_d_c,ORBl_s_i,ORBl_s_c,FRP_s_i,FRP_s_c,PL_d_i,PL_d_c,PL_s_i,PL_s_c,ENTm_d_i,ENTm_d_c,ENTm_s_i,ENTm_s_c,ENTmv_d_i,ENTmv_d_c,ENTmv_s_i,ENTmv_s_c,ENTl_d_i,ENTl_d_c,ENTl_s_i,ENTl_s_c,ACAv_d_i,ACAv_d_c,ACAv_s_i,ACAv_s_c,ACAd_d_i,ACAd_d_c,ACAd_s_i,ACAd_s_c,AON_i,AON_c,AON_e_i,AON_e_c,AON_l_i,AON_l_c,AON_d_i,AON_d_c,AON_pv_i,AON_pv_c,AON_m_i,AON_m_c,ILA_d_i,ILA_d_c,ILA_s_i,ILA_s_c,PAA_d_i,PAA_d_c,PAA_s_i,PAA_s_c,COApl_d_i,COApl_d_c,COApl_s_i,COApl_s_c,COAa_s_i,COAa_s_c,COApm_d_i,COApm_d_c,COApm_s_i,COApm_s_c,Ttv_d_i,Ttv_d_c,TTv_s_i,TTv_s_c,TTd_d_i,TTd_d_c,Ttd_d_i,Ttd_d_c,TTd_s_i,TTd_s_c,PIR_d_i,PIR_d_c,PIR_s_i,PIR_s_c,OT_d_i,OT_d_c,OT_s_i,OT_s_c,CLA_i,CLA_c,NLOT_d_i,NLOT_d_c,NLOT_s_i,NLOT_s_c,EP_v_i,EP_v_c,EP_d_i,EP_d_c,DP_d_i,DP_d_c,DP_s_i,DP_s_c,TR_d_i,TR_d_c,TR_s_i,TR_s_c
DPs,0.00010015020608343418,0.0,2.7479285313804333e-05,9.135571032704066e-06,0.0009176520518038424,9.511343779795808e-06,0.00012204214905192995,0.0,1.3855574384170191e-05,8.004084036172166e-06,9.391875935923328e-06,2.835805511906179e-05,1.501956590441623e-05,1.3401110428852775e-05,1.5189604251784245e-05,2.384457303621517e-06,1.9374160883032683e-05,4.965749941223855e-06,5.161451218608738e-05,1.390937900788359e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.156486613693033e-07,0.0,0.0,2.1522952485506055e-08,0.0,0.0,0.0,3.303851203303606e-05,1.328470730641855e-06,0.0,4.5638293559450677e-07,7.081225025869244e-05,0.0,0.0,9.423387104869075e-06,0.0005499859375332304,0.0,4.897724780600463e-05,1.1018197357700149e-06,6.745728589909291e-05,8.84686056235703e-06,1.717274767091905e-05,1.3995073361880187e-06,0.00016075163420521205,6.859490771311783e-06,8.829282979609837e-05,6.0483869090747306e-06,2.1920615523185474e-05,4.763625916591647e-06,7.022421688501469e-06,2.4970306866867808e-06,4.088426157913829e-05,5.097307226235764e-05,2.2969470474767312e-05,0.0,0.00010890905481260249,5.4529421642630254e-05,0.00010796939335238086,4.966460958010815e-05,0.00010755094561265673,3.774785125543785e-05,6.436372055559788e-05,2.344844954557829e-05,0.0,0.0,0.0,0.0,0.0,1.1709757104794728e-05,0.0,0.0,3.582988110388862e-05,5.51902406297286e-06,0.00023518314268234036,7.453189690299283e-05,0.00014312860349925368,6.6792347416449835e-06,0.0003008305005397676,7.1723547002307484e-06,1.7990099956467798e-05,1.8621421266467754e-05,1.9228396568989374e-05,1.5200190221072877e-05,3.074214229550412e-05,7.136437767957554e-06,1.903964546773548e-05,6.059781480597928e-06,1.77606279414219e-05,1.2148832728845248e-06,4.36383134867754e-06,0.0,0.0002072857243169677,9.511343779795808e-06,4.6362948086197475e-05,0.0001033015038042898,0.0001315916460388167,0.0,0.00010365046574785228,5.248950804980478e-06,6.589430664099062e-05,0.0,0.0,0.0,0.004224826231353919,3.460855227459502e-05,0.001323014255618342,4.245795224786666e-05,0.0019854445262596594,3.207683495805317e-05,0.0006520060539144035,5.47873841610506e-05,0.00016699708149283784,4.60274530385796e-06,5.076973939554221e-05,1.2602553855092632e-06,0.0004792248165758665,2.161766563850988e-06,0.00019107080976890685,2.5503173018344273e-05,0.00025855490908963173,5.017129883285665e-06,0.0001733807745436199,7.503304048358139e-06,0.000945172259391348,0.0,0.0006145211038025325,0.0,0.0006197509676709852,0.0,0.0011239228804366022,0.0,0.000530648352076117,5.740018724097588e-06,0.00034327235656506273,0.0,0.0,0.0,0.001394601857374626,0.0,0.0006492808262595749,0.0,2.445567407397895e-06,0.0,9.173155103092028e-06,9.090741792527807e-06,0.0,0.0,0.0,0.0,0.00025787187496122577,2.070130362509774e-05,0.00018686036728784847,3.7733245398971894e-05,0.004684615490071264,7.001332515280577e-05,0.0018818838765091606,0.00020219231359169628,0.002263265577679999,4.883109497619993e-05,0.0004173903511202952,4.127568425591636e-05,0.0010349575584206534,0.0,4.6639813667437164e-05,0.0,0.0004981595462596036,0.0,0.00034837512032728676,0.0,0.004407835172336931,0.0,0.002252467740132553,3.664259499437486e-05,0.005456678122128766,0.0,0.00439271444267672,5.0779381137430125e-05,3.0111333766600285e-05,4.207666124654112e-06,2.0645681042528524e-05,0.0,2.480066877007194e-05,8.638577474411323e-06,3.63092688363275e-05,2.803667544054675e-05,0.0004052655060162983,1.4965366203959814e-05,6.246004757894829e-06,1.799251297977004e-06,5.5607434549957315e-06,0.0,0.0009484228669805392,0.0,0.00046792714978178965,0.0,0.0007991171241048419,6.598843774662804e-05,0.0023469590482575685,0.0,0.0023272448053492196,0.0,0.00445794987458104,6.713515301687478e-05,0.011298203376555295,0.0002729354442027424,0.0007708573910378778,0.0,0.0004700420420351716,6.528201967654135e-05,0.0007598259824534846,0.0,0.0003306355549615675,3.8892203619018096e-07,0.00023109566710157722,0.0,0.00031803528041191216,4.701005755686489e-06,0.0010078868070685738,1.672062561503656e-05,0.006367193160331038,0.0,0.0029220078604422764,4.6420987313275135e-05,2.6457990569872297e-05,2.5749472957218896e-06,2.2060621161258052e-05,1.1469822801376298e-06
DPd,8.914023254270072e-05,1.007556686475017e-05,7.53232532136691e-05,2.683049721057741e-06,1.1875957491283882e-05,1.3629508913502877e-06,1.399079206940925e-05,0.0,6.105756343194434e-06,0.0,0.0,0.0,1.8817081354693703e-05,4.27278704857934e-06,2.356644897884488e-05,0.0,1.539710608723807e-05,9.96658421312102e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.440189887641107e-07,8.502663649570308e-07,5.404056597845128e-06,0.0,3.5241952767493733e-06,3.7688968862062516e-06,0.0,0.0,5.625134382422935e-05,1.9548673210637068e-05,4.7322727563382905e-05,0.0,5.843226813522854e-06,1.0880379775281841e-06,3.821140240435018e-06,5.440189887641107e-07,0.00011637296368119268,1.0316203540146032e-05,2.3223636545502934e-05,5.964978929909516e-06,0.00019726596282630956,1.0773366319386168e-05,7.041794630905136e-05,2.4754350741294763e-05,1.2326307689740391e-05,3.851490651648404e-06,9.665869149772844e-06,0.0,3.110131963475749e-05,9.834618940099832e-06,2.2549816915395458e-05,0.0,1.3200313509264221e-05,8.017508431712013e-06,0.0,0.0,6.203307387682718e-05,0.0,9.918462955917551e-05,9.258698255853841e-06,0.0,0.0,0.0,0.0,2.650632749216731e-06,1.1904505276114573e-06,4.8516623692636126e-06,0.0,4.6328681443700954e-05,0.0,0.0,2.6611365718153206e-05,2.4945363542332837e-05,1.5324986507018274e-05,5.718531895127116e-05,6.54291753406549e-06,2.9107714448818052e-06,0.0,0.0,0.0,5.006410323287192e-05,0.0,0.0,0.0,3.4460290319906182e-06,0.0,6.324306051030459e-07,0.0,3.719449608046016e-05,0.0,0.0005062253629086462,0.0,8.173640102608387e-06,6.355921062711171e-07,0.0001242888551565883,2.670989366521314e-05,2.35473156800311e-06,0.0,4.823983547478769e-06,0.0,0.0003780941767166974,1.5748972525214662e-05,0.001275887006405589,3.099827390565671e-05,0.00011680179987436078,1.3530380972687729e-05,0.00022515621281196487,1.6720963503538993e-05,0.0002558127676013863,7.734153269759571e-06,0.000137634198871969,1.4742169897837774e-05,0.00016896630032257648,0.0,0.00026382262799912496,2.7007388142150676e-07,0.00010396700651828925,2.5643068008444095e-06,0.00019678170717713124,4.849033734510962e-06,0.0009502888238438728,1.8456606637310041e-06,0.003170262457706304,2.3692130527570035e-05,0.003267552107854824,3.6027056304734534e-07,0.0021294919923327024,2.6123544447491533e-06,0.00010592438389202015,3.919706411999932e-07,6.888308348640308e-05,5.963791817800765e-06,0.0,0.0,0.0012225777289503064,4.457281550634559e-06,0.007513931255305799,8.181570788508726e-05,0.00011209930485178155,3.415467277288975e-05,7.485063155859947e-05,2.5195600234269804e-05,0.0,0.0,4.58040185759315e-05,1.8004925428100418e-07,0.0018477140139319076,0.0001335164417040925,0.0012892044155090167,5.6430421626850167e-05,0.0011190811811849148,4.538991328899456e-05,0.008335968070302706,0.00023738998482459212,0.0009260917306471114,1.1608087975665804e-05,0.001654914899669732,0.00011679076040226708,0.0004856943884523904,0.0,0.0,0.0,9.2445842212568e-05,0.0,5.191945610342921e-05,0.0,0.0005078823691287888,0.0,0.0012410693171737023,2.7382243840253886e-05,0.012224461840511128,2.171830991013722e-05,0.017601613594817735,5.998323459038779e-05,0.0003427085918178655,1.5468713715482882e-06,0.0002637132152891362,1.3538944545743806e-05,0.0006321144071498683,9.98633540493289e-06,0.0005679498687286751,1.658530564233856e-05,0.00021954855386503705,6.487356084801243e-05,0.0003711770084355181,3.247314489751226e-06,0.00013938380798246558,2.998112639636443e-07,0.00013036769402660162,0.0,0.0003743516238781908,0.0,0.00012725549617338106,0.0,0.005561632675685572,9.972341534064148e-06,0.0057398399759542515,0.00015082991912967374,0.006042114077932802,0.000221572312573026,0.008634018950899155,0.00037985453391477583,0.00013735049193185975,0.0,0.0005560790728277639,0.0001163978787006681,0.00025862277600213025,2.5048619159422688e-05,0.00044228790855031964,0.0,0.0002223386886801767,4.542242309268161e-05,0.001064008265554734,2.9261111588104666e-05,0.0016474949252018782,1.8725191620733547e-05,0.004360889642676536,1.906668962034289e-05,0.0009820197289288934,0.0,0.000381820091240099,3.604063441858666e-06,0.00031386371049111863,0.0
ILA,0.0004806994446622826,0.00015057631504075607,1.6475216945526228e-05,0.0,0.0001972821172184551,1.1753748015989983e-05,0.00013781848083985982,3.279902362434462e-07,1.7111448625533572e-05,0.0,8.515172732781817e-07,1.8963257371604052e-06,6.857684737431532e-05,2.9181180275001196e-05,1.0524884327569888e-05,6.7154949672907826e-06,6.904603004451945e-05,5.936978791431876e-05,1.286783507837014e-05,7.071396690446835e-06,0.0,0.0,9.57366898168254e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.693968178344632e-06,0.0,0.0,0.0,1.513151521379271e-05,8.013446471384203e-07,3.218690598992891e-05,1.1271402745465498e-05,0.0,0.0,1.1522144676624954e-07,1.086567845243319e-06,0.00010817928725800935,1.5883110078787814e-05,1.2978561630388834e-05,1.0415396183249426e-05,0.0003594337786527181,1.4929022966185788e-05,0.00012384332629444914,7.974728366213033e-08,0.003715635839162106,0.001026089778342087,0.0003819823996156785,9.383823341441118e-05,0.0013987043888459073,0.0007202843715629602,2.550827709008308e-05,1.2004188276046935e-05,3.781597609996655e-05,1.0510629303707375e-05,1.3207790853534325e-06,0.0,0.002037885083873635,0.000414931813098271,0.00021135634902256467,5.437482982550193e-05,2.0404129737974304e-05,4.421771645040959e-06,3.345713972471222e-06,9.75356759917677e-08,1.0498488542090051e-05,5.0845620975133465e-06,2.182456218521942e-06,5.826923220649531e-07,0.0,0.0,9.750258990534503e-08,0.0,9.376002806947103e-06,0.0,6.211983736942122e-07,1.5105769743714967e-07,7.228160261571483e-06,0.0,1.2421096367261418e-06,1.6167091538979303e-06,2.6294773371696272e-05,0.0,1.3974338599019078e-05,1.3375572803537425e-06,0.0,0.0,0.0,0.0,5.3595038355207e-06,2.5990503333996496e-06,4.784609206212423e-07,4.087428457847137e-06,2.818717046147617e-05,0.0,1.8043838791969865e-06,0.0,0.00010391577189490918,2.495991508830977e-05,5.9418789857147304e-05,1.076821940414748e-05,7.008107212722331e-05,0.0,0.00020506030520173652,6.815252716061987e-06,0.00018479153507095964,1.0949882042142861e-05,9.130493699783036e-05,0.0,0.003202280270506645,0.0004180867174652519,0.0017348947741957308,7.904119677213343e-06,0.0006424268346555385,9.125468556083159e-05,0.00024182619209603935,1.2147106408579409e-06,0.0017283884064814427,5.152644394590858e-05,5.587829994267917e-05,1.7351456462064643e-05,0.0012231288556095513,5.0769862810204815e-05,0.00029755933581433844,0.00016871556212474402,0.0014372050054357144,0.00011315753992957952,0.0003699510131657493,5.8107520703127654e-05,0.0026512913742738143,0.00015779474499700219,0.01344964740399926,0.00022734970986510968,0.0006473337339560531,0.0002174631656315448,0.00655709375520141,0.00012813967004314273,0.0009144972009436278,0.00017005295340014918,0.0011819855379810538,6.822989851739001e-06,0.0,0.0,0.0016654896629970208,0.0017940223200757774,0.009999082756970635,0.0005356617050319618,0.0002871046409905909,0.0003098448433960479,2.3996020216556675e-05,2.2258141919429953e-05,0.0,0.0,1.0950251471364052e-05,0.0,0.012410924170877054,0.0017364949014959552,0.0001604288259572817,4.657606708199034e-05,0.004662705931436057,0.001231721055061212,0.007847373922729182,9.873228125028042e-05,0.0024781900742806957,0.0009138901766113961,0.0013779614477577554,3.9206926875788825e-05,0.0003135811323795496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013535763414425658,0.00011789022096112312,0.003583383530425604,0.00010184698667172112,0.0022651593988017448,0.006031848900148029,0.0028011184568473586,0.0008817667972060724,0.00042746845441137677,0.0,8.260071360797862e-05,7.98535966406518e-08,0.00022393040606269107,1.4565010756707408e-06,0.0006749211156814489,9.135950414925293e-06,5.386288327071527e-05,0.0,5.420396600521792e-05,0.0,0.0,0.0,0.00019050970776013647,0.0,0.00026691869821290746,0.0,3.214371289258302e-05,6.491117626825673e-05,0.000598896544058869,0.0001824235637905018,0.0028715005858777447,0.0004255420705707855,0.0003957741058789685,7.07266336036221e-05,0.00021316117369489496,6.893032044474567e-05,4.9675531113836756e-05,0.0,0.00015348994716127772,0.0,0.008963700379302568,0.00020208508000889045,0.0,0.0,6.43798043279879e-05,0.0,8.827023280171319e-05,1.1101929515815888e-05,0.002982546800161391,0.00016082186500035944,0.002250706756831928,0.0,0.001262168413131897,9.33748124759429e-05,0.00012787836246872964,1.3037500388865801e-05,5.433122972871205e-05,1.6576181579915109e-06
PL,0.0025991825932033122,0.00012975394056177492,0.00018001583682834789,0.00010099555627162397,0.0014758104064166153,0.00030074305620850835,0.00045633218144951724,0.0002556329748919598,0.00046567158258491983,4.124988522687343e-05,0.00015747141651485238,0.0,0.00026352799438291536,0.00015904369906544763,0.0003636238944871995,0.0,0.00026165072887489543,0.00014371841348488818,0.00027082563007046155,3.437422714675981e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.9391585476016744e-05,0.0,1.0507836581987412e-05,0.0,0.0,0.0,3.993769021678684e-05,0.0,0.0001968811334334825,2.2911988796885504e-05,0.00012057914457146142,2.913849146228056e-05,0.0004015639471486839,5.646535507019564e-05,0.00013626180634328895,0.0,0.0008074221987336614,0.0,0.0004244119927396611,0.0,0.0012960918813174791,0.00013137581632837792,0.0005204760351548186,6.086841247441096e-05,0.0009571489471127357,0.0008889841609934539,0.0009424496094569984,6.720613872087521e-05,0.0007170534412111875,0.0004088729493458823,0.00025937374843792467,0.0001392583497316601,0.00026748897158544553,0.0,3.567131075601044e-05,1.8107295588206013e-05,0.0008564804146737258,0.000809491194796596,0.0014663252838905535,0.0,0.0009270065250075332,0.00016620683884153737,5.826839933702481e-05,1.235129294681457e-05,0.00011352430625699773,4.31951403979062e-05,0.00010231954676441435,0.0,5.479473882348058e-05,0.0,0.0,0.0,6.581074548933345e-05,0.0,0.0,0.0,0.0,0.0,0.0,5.83126142874451e-05,0.0005310050276204732,9.254416272781384e-05,2.1685631268163586e-05,1.4229118305565272e-05,0.0,4.7815111639922034e-05,4.4642300222417914e-05,0.0,9.969067301715999e-05,0.0,2.4225201994840118e-05,0.0,4.7365875065531996e-05,0.0,1.6553436813671047e-07,0.0,0.0005919425563434423,4.065398937615554e-05,0.00016067357159037265,0.0,0.0006610846854088785,0.0001585078200360009,0.00037319973903507576,0.00017182023824923977,0.00030229057622932763,0.0,0.00010522199518854994,9.60019601002955e-05,0.008890130980182575,0.008971576899567395,0.0020051817166222025,0.00405999006398632,0.0074897351244584826,0.0009124099201154155,0.0005876080816123028,0.0003971588748091998,0.0008486891471919245,0.0,0.0002724848465382902,0.0,0.0015875986842438304,0.0007221173938186156,0.0054682430504015755,0.0016528429116537777,0.004415172969042904,0.0004227607558293501,0.003391855376862022,0.0003584312113122729,0.00040925509674341436,0.002105475066455208,0.000990488369907325,0.0035156128580293923,0.000841474682690448,0.0021063202969263933,0.0009557806070749758,0.0011205503568986125,0.0008172012750498585,0.0021713046771542157,0.0009177007266924665,0.0017901947706177243,4.056381482647037e-05,0.00023353557574552669,0.002343829277337538,0.006526091748476184,0.0022119826848836462,0.00832625868602731,7.029133059903866e-05,0.0,3.204869941993735e-05,0.0,0.0,0.0,0.0,0.0,0.0013081696850618962,0.0014360299126113755,0.0005280135949224707,0.0002513051802352051,0.0017202414182687165,0.0006726950468149427,0.001922195721341727,0.0008908173083243012,0.004393439754719963,0.003366145680344633,0.0026350232568021262,0.003122704435306162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017150403556082772,0.0,0.00018366465294127074,0.0,0.005442132402863774,0.00337701449547954,0.001261625210450429,0.0009310150733287584,0.0,0.0,3.9154622930208425e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.473317582450157e-05,0.0,0.00011637765016922743,0.0,3.2574350004343355e-05,0.0,0.0,0.0,0.00020307220334051746,0.0,0.0005105080428269756,0.0,0.0003364338188581472,0.0,0.0010866663645381503,0.00022093316381151815,0.0009974997455410954,3.1289063898256435e-05,6.282993050619212e-05,0.0,3.071704640201129e-05,0.0,0.0054510598476128335,0.0002880395293273497,4.2930608235466933e-05,0.0,0.0,0.0,0.00012041219317035102,2.728432768236981e-05,0.0009084841715007032,0.0,0.00024032816976055278,0.0,0.00015008422676311277,0.0,1.8847454790835845e-05,0.0,0.0,0.00011198904946372323
ACAv,0.00011059236034752261,0.00015940873294602052,6.318081628467591e-07,8.710642612774997e-07,0.006150759170896616,0.00010479410646345661,0.0012452123897640456,7.79015908817297e-05,0.0001474586667084245,0.0,0.0,0.0,4.698747169777711e-05,0.0,0.0,0.0,5.618863499463388e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012696319295277454,0.0,6.361764670292836e-05,0.0,0.0005714254198284481,0.00013843906025987648,0.0017295896342017076,0.0,0.0006317579677952829,0.0,0.00011673968797212524,0.0,0.001622806968945849,0.00013807826443003725,0.0014425948016827694,0.0001569167766707906,0.008600581164471731,0.00036565943418755576,0.005253535629445028,0.0004462854727597582,0.0004910396399821098,0.0005195430459371479,0.00031163732174255287,0.0,0.00011958069772180171,0.0,0.0,9.510213411452076e-06,0.0,0.0,0.0,0.0,0.0004611010470428076,0.0,0.0002904699580465086,0.0,0.00021866269686949394,5.0187165435524775e-05,3.9515324167735275e-05,0.0,9.127449380273268e-05,2.7660422063392853e-06,1.3112954610578481e-05,1.1399721780587428e-06,0.0,0.0,0.0,0.0,1.650638616028809e-06,0.0,0.0,0.0,1.232763004460425e-05,0.0,0.0,0.0,0.0,0.0,2.1963886650801663e-06,0.0,9.418745141477317e-05,0.0,0.0,0.0,0.0,0.0,9.066176064323029e-07,0.0,0.0,0.0,0.0,0.0,0.019140672070057013,0.0008105682675026408,0.007274624597953444,0.0011674197137069107,0.00731842978525236,0.0002038057202892402,0.0034959247149978067,0.00032708569071541674,0.007412427008568655,0.0,0.007355867057856786,0.0,0.008226638934796079,0.0010746280677988657,0.0006115677490722824,0.00014089198355580183,0.0063392952975980165,0.0007096597470040645,0.0003505714902550908,3.45231043383223e-05,2.054523352360449e-05,0.0,0.0,0.0,0.00032173436470057574,0.00021377300791198685,5.877571487751921e-05,0.0,0.000361431386859118,0.0005472183957597355,0.0,5.256326694748092e-05,0.0038099944042841,0.0008474082408716505,0.005816861421437444,0.0030725474825316194,0.002273367319240334,0.0008071394009672036,0.0081752243579426,0.0022462247718240762,0.0008723297452357304,0.000370489522953912,0.0005425604296933112,0.0002774371071564022,0.0004395396674987031,0.0,0.0030178156096232252,0.0019871208511046926,0.010773907765704338,0.007714462072170437,5.4542412923047975e-05,0.0,7.471335103925306e-05,4.600594084106341e-05,0.0,0.0,0.0,0.0,0.0004847622748399994,0.0004319177182703923,5.73901657949276e-05,4.143636916116898e-05,0.013362693459648438,0.013417336235547446,0.017659134229296887,0.019467522006699815,0.003950172785069786,0.0060540248824829225,0.0038317045995060937,0.0015087773311632708,0.0,0.0,0.0,0.0,2.9722859307556476e-07,0.0,0.0,0.0,0.00012050975929637416,0.0,0.000312390351163619,0.0,0.011308422291633004,0.005723905137685066,0.004041455091661346,0.003231970864969805,0.0,0.0,1.0312737927588102e-06,0.0,3.4863556311965415e-08,0.0,0.0,0.0,0.0,0.0,0.0,7.848219425009066e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.00016456350919894617,0.0,7.228060415017442e-05,0.0,0.0001026560558104777,0.0001053622385459491,0.0,1.5277199698119823e-05,0.0,5.1994570572063254e-05,0.0,0.0,0.0,0.0,0.0015171233658474441,0.0003963225824592984,0.0,0.0,0.0,0.0,0.0,0.0,0.00015286317787687872,0.0,0.0005028065548695928,0.00015394517275367053,0.00024625625491956314,0.0,0.0,0.0,0.0,1.650638616028809e-06
