Injection Site,PRC_i,PRC_c,MG_v_i,MG_v_c,MG_m_i,MG_m_c,MG_d_i,MG_d_c,POL_i,POL_c,PP_i,PP_c,LG_v_i,LG_v_c,LG_d_i,LG_d_c,IGL_i,IGL_c,PF_i,PF_c,SPA_i,SPA_c,SPF_m_i,SPF_m_c,SPF_p_i,SPF_p_c,LP_i,LP_c,PO_i,PO_c,VPM_i,VPM_c,VPM_pc_i,VPM_pc_c,PCN_i,PCN_c,CL_i,CL_c,PR_i,PR_c,VPL_i,VPL_c,VPL_pc_i,VPL_pc_c,SMT_i,SMT_c,VM_i,VM_c,LD_i,LD_c,LH_i,LH_c,MH_i,MH_c,IMD_i,IMD_c,RT_i,RT_c,AV_i,AV_c,AD_i,AD_c,AM_d_i,AM_d_c,AM_v_i,AM_v_c,VAL_i,VAL_c,IAD_i,IAD_c,RE_i,RE_c,RH_i,RH_c,IAM_i,IAM_c,CM_i,CM_c,PT_i,PT_c,PVT_i,PVT_c,MD_I_i,MD_I_c,MD_m_i,MD_m_c,MD_c_i,MD_c_c,SubG_i,SubG_c,SGN_i,SGN_c,TOTAL_i,TOTAL_c
DPs,0.0,0.0,0.0,1.1162538028934875e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015958755690170267,0.0,0.0,5.057552090335419e-06,0.0,2.161766563850988e-06,0.0001692356665193574,0.0,0.0,0.0,9.488509913335735e-05,0.0,0.0,0.0,7.95159767454348e-05,0.0,2.2099903076834863e-05,0.0,0.0,0.0,1.1162538028934875e-05,0.0,0.0,0.0,2.207092960600298e-05,0.0,1.1115003271048088e-05,0.0,5.468536190875718e-05,0.0,0.0,0.0,0.0003154746143891674,0.0,0.0005394083441813548,0.0001400119181224215,0.0,0.0,0.0,0.0,0.0,0.0,0.00045559130582833107,0.0002575831062008476,0.00014075658599345286,0.0,0.0,0.0,0.0,0.0,6.115101311170197e-06,0.0,1.338716840313566e-05,0.0,1.6083462920611083e-05,0.0,4.516671233469887e-06,0.0,0.001996608335830314,0.0016483194963729509,0.00010232190054106865,0.00013758408303259447,1.611006483607068e-05,0.0,3.131689118851995e-05,2.3003528620337594e-05,8.036433187022305e-05,0.0,0.0004347741112888905,5.7881249728735734e-05,0.0,6.301583967972078e-06,1.800398618986864e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007384167746148907,0.004406338596845975
DPd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003636426539135498,0.0,0.0004549644087126548,6.851900368149837e-05,0.00019729265156212934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026411991961228324,0.0,8.461741583658098e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.356425767500868e-05,0.0,0.0001996024134358899,0.0,0.0,0.0,0.0003772378661277096,0.0,0.0,0.0,0.006319524359307764,0.0016092006040299123,0.0,0.0,0.00033868394167337854,0.0,0.00011624940836574887,0.0,0.0005194875306224163,0.0,0.00028124474272232884,0.0,0.0,0.0,0.0005757904055423068,0.0,0.01898761665704614,0.0015766260991277655,0.0015429510843085255,0.0009027518807658357,0.0009048372447323427,6.882322260349028e-05,0.0015757456768696813,0.0003718127276959806,0.002239666249082798,0.0,0.02559291541624715,0.0010343775471516653,0.0018855035128143279,7.413444650575786e-05,0.007320889379739988,6.36284127299676e-05,0.00014362772326373413,8.836420369994364e-05,0.0,0.0,0.0,0.0,0.06636726154460504,0.005112429443008886
ILA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003525669377081007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018364485849312913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007149601474258341,0.0,0.0006417661620090877,0.0,1.6334182852966238e-05,0.0,0.0,0.0,0.0004371625663337459,0.0,0.0035081612204437345,0.0,5.833506830397391e-05,0.0,0.00010559194986402755,0.0,0.0,0.0,0.0017025620762619962,0.00039186271657515537,4.9571393412804074e-05,0.0,0.00020342667598279476,0.0,0.0,0.0,0.0005130610474065352,0.0,0.0005830525037502172,0.0,0.0,0.0,0.0006616292110833173,0.0,0.012846678041149603,0.0026812565653640355,0.0005729776142253636,0.0005471638108903896,0.0011086514128363202,0.0004664044692712402,0.002648936917067421,0.0004450261476895519,0.0014748412011759654,0.0,0.00956562559599529,0.0009762301243281457,0.0016813037901733368,0.0,0.00407018589241836,4.876532468594957e-05,0.00025464639448150126,0.0,0.0,0.0,0.0,0.0,0.06979959183092883,0.004726193460664959
PL,0.0,0.0,0.0,0.0,0.0,0.0,5.917903160848898e-07,0.0,7.4403833704375785e-06,1.043373987712175e-07,0.0,0.0,0.0,0.0,3.0103048292597385e-05,0.0,0.0,0.0,0.0019330389718781383,0.0,0.00016629170954945177,3.087754602938343e-05,6.834676899792844e-05,0.0,4.0186264047435214e-05,0.0,0.00030822684142390753,0.0,0.0003200213831155826,1.6919790169437136e-05,3.4577681193324016e-05,5.217486922891436e-06,0.0,0.0,0.00012550786558694914,0.0,0.000987905635897611,0.0,0.000247575213647411,0.0,0.0,0.0,0.0,0.0,0.0020876941802658914,0.0,0.0063715935235096844,0.0,0.0,0.0,0.00037272318764479785,0.0,0.0,0.0,0.0039382814825033394,0.00022437909368967757,0.0001535805340893673,0.0,0.00029863253818569144,0.0,0.0,0.0,0.0015434090573612392,3.688141293808535e-05,0.0010024013844597522,0.0,0.0025908334978166606,0.0,0.001134234226605688,0.0,0.005909429912567336,0.000348035343285011,0.0007902864217719816,0.0008076301715171869,0.00024389501170363548,8.176790928659028e-05,0.002068506798268146,0.0007038724888706814,0.0017915525199847459,9.539838467000354e-05,0.003719146705294594,0.000219176164471684,0.006824558012866627,0.0,0.007666716493810099,3.0394930672663678e-05,0.005207450268339188,0.0,0.0,0.0,1.2124668015423804e-06,0.0,0.10245265698724479,0.0022168299754091766
ACAv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.676316348178537e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007541925794519333,0.0,0.0009279061100463335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007454375447561271,0.0,0.0,0.0,0.0003100959353670283,0.0,0.0,0.0,0.00044190473347472173,0.0,0.006827725576869005,0.0,0.007274692103638725,0.0,0.0005954695442927061,0.0,0.0,0.0,0.00030456723098077845,0.0,0.00019494217911159752,0.0,0.0004847514152127871,0.0,0.001232848357692071,0.0,0.005058609633343333,9.664556623871227e-05,0.00299000226471687,0.0,0.002264033955502038,0.0,0.0020703287665177956,0.0,0.005377079363095823,9.179325793339206e-05,0.0004329214273929577,0.0003347102130151019,0.0007267904819848984,0.00027905042962730555,0.0013774496013712416,0.00011508522322315807,0.00041404169039436595,0.0,0.00034352651969334145,0.0,0.012030151187245684,0.0,0.0011986409459630455,0.0,0.0018008663680847397,0.0,0.0,0.0,0.0,0.0,0.09239503787436411,0.0006604494167247437
ACAd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017063889262340444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016948179954819793,0.0,0.003086850145625233,0.0,0.00012099759997762954,0.0,0.0,0.0,0.00016025462384642168,0.0,0.0028587568060168787,0.0,0.00011967232267113828,0.0,0.0,0.0,0.0,0.0,0.0003061036712183545,0.0,0.009407185361251463,0.0,8.491550440649754e-05,0.0,0.0002659875692629866,0.0,0.0,0.0,0.0003400099443614882,0.0001627536185338089,0.0,0.0,0.0004561863189601856,0.0,0.0,0.0,0.003917363771548566,0.0,0.002003802842504054,0.0,0.009386233195235604,0.0,0.0002988993732525775,0.0,0.0018873390960185742,7.776979988748113e-05,0.0011960949795486121,0.0008149791549125518,0.0005343773513206014,0.0,0.00285112875827115,0.000252598731421945,0.0,3.560034903681742e-05,0.0011545863366384057,9.185021524513592e-05,0.01518239503763744,0.0,0.0014567275088022517,7.925774835664341e-05,0.004764272065837287,9.772737812375683e-05,0.0,0.0,0.0,0.0,0.10150017352488329,0.0013068655344376805
